,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
2391,Purple 2,Yellow cap ,Green bandana,Blueer ,Trash hoodie skateboard,Simply pink,22.963780420685357,2391
2392,Green beams,Beanie brown,Nearly focused,Quirkiebot MK2,Astroquirkie comms,Neutral,33.91868677064882,2392
2393,Gold ring,Squiddie green,Buttons,Qurikie bot MK 3,Yellow backpack,The blues,9.480287103220778,2393
2394,Gold ring,Rabbit in a hat,4 eyes cheerfull,Quirkie bot MK 1,Cherry blossom komono,Pinkish,20.43568512781633,2394
2395,Bubbles,Lightning beanie,Woooaaah,Pinkish,Casual jacket ,Mist in the artic,27.528492153153252,2395
2396,Ufo green,Sock monkey,1 eye,Blue,Astroquirkie,Misty pink,32.30356472927981,2396
2397,Pierced,Lightning beanie,Pink bandana,Orange,Big purple hoodie and chain,Purple with stars,32.233510002599054,2397
2398,Overgrown,Sideway cap blue green,Pink sunglasses,Peach,Wool demim ,Honey melon,19.803282004819174,2398
2399,Orange 1,Blue surfer,Hmm,Blue,Hawaiian shirt surfboard,Dust,15.519660195679874,2399
2400,Lightning bolts,Archaeology hat,Fired up ,Orange,Fur coat,Simply pink,15.660331589857062,2400
2401,Planets purple,Long brown,Wait,Blue,Jpeg hoodie,Pinkish,22.823586674954182,2401
2402,Bubbles,Horns,Tongue out,Pinkish,6 arm quirkbot ,Pinkish,18.60982292732016,2402
2403,Red 2,Squiddie pink,Quirkie tongue,Another green,White suit,Honey melon,11.938440049230907,2403
2404,Graff bubble,Beanie brown,Wait,Qurikie bot MK 3,Cherry blossom komono,The blues,14.115151906260765,2404
2405,Purple 2,Cap blue,Skull mask,Pinkish,Wool demim ,Turquoise,9.269560983142382,2405
2406,Bubbles,Watermelon helmet,Cutie,Blue,Green backpack,Purple,24.438385620973474,2406
2407,Overgrown,Bear hug,Warpaint 2,Another green,Quirkbot mk1,Turquoise,18.960869227591516,2407
2408,Purple 2,Blue bmx helmet,Warpaint 3,Quirkiebot MK1 2 gold edition,Quirkbot mk1,Blurple,36.93859809367236,2408
2409,Feather,Snakes,Spooked,Yellow,Pink back pack,The blues,13.06212535564539,2409
