,Legendary,Origin,Augmint,Advocate,Hat,Eyes,Neck,Body,Background,Mouth,Nosering,Special,Spikes,Skin,origin,Rarity score,Token Id
5790,None,Baby,Business Attire,None,Yellow Beanie,Looking Forward,Black Hoodie,None,Teal,None,None,None,Gray,Sand,None,27.53643780585361,5790
5791,None,Baby,None,None,Leprechaun Hat,Tired,None,None,Sky Blue,None,None,None,Black,Brown,None,20.29020298289952,5791
5792,None,Baby,Business Attire,None,None,Giddy,White Polo,None,Salmon,None,None,None,Gray,Burgundy,None,17.292235988705954,5792
5793,None,Baby,Business Attire,None,None,Eye Patch,Red Bowtie,None,Olive,None,None,None,Gray,Burgundy,None,14.656127658523419,5793
5794,None,Baby,None,None,Burgundy Visor,Gold Clubmasterz,Gold Chain,None,Sky Blue,None,None,None,Sand,Purple,None,29.334143236653183,5794
5795,None,Baby,Business Attire,None,Teal Beanie,Gold Clubmasterz,Trendy Pbt Hoodie,None,Orange,None,None,None,Gray,Brown,None,29.56543292006277,5795
5796,None,Baby,None,None,Batsy Bucket Hat,Looking Forward,Orange Hoodie,None,Olive,None,None,None,Sand,Brown,None,23.558644739265574,5796
5797,None,Baby,Business Attire,None,Purple Crown,Looking Up,Kaiju Chain Gold,None,Pink,Blunt,None,None,Black,Brown,None,50.49389079126054,5797
5798,None,Baby,Business Attire,None,Green Visor,Thug Life,Gold Chain,None,Pink,Gold Tooth,None,None,Green,Gray,None,49.91216824880721,5798
5799,None,Baby,None,None,None,White Thick Rims,None,None,Green City,Banana,None,None,Green,Gray,None,26.983244637204614,5799
5800,None,Baby,None,None,Black Visor,Looking Up,None,None,Gray,None,None,None,Brown,Purple,None,19.41972453853102,5800
5801,None,Baby,None,None,St Nick'S Hat,Giddy,White Polo,None,Orange,None,None,None,Gray,Green,None,28.726579177074633,5801
5802,None,Baby,None,None,None,Black Specs,Gold Bowtie,None,Blue,Snaggle Tooth,None,None,Brown,Sand,None,31.763431637870127,5802
5803,None,Baby,None,None,Red Seethrough Visor,Looking Up,None,None,Mint,Cigar,None,None,Brown,Black,None,36.876885536686636,5803
5804,None,Baby,Business Attire,None,Green Dad Hat,Angered,Red Bowtie,None,Sky Blue,None,None,None,Black,Brown,None,31.554532823369158,5804
5805,None,Baby,Business Attire,None,Trendy Gpt Bucket Hat,Looking Forward,Silver Spike Collar,None,Mint,Cigarette,None,None,Burgundy,Burgundy,None,47.63191667644863,5805
5806,None,Baby,Business Attire,None,White Crown,Blushy Happy,Gold Spike Collar,None,Orange,Diamond Tooth,None,None,Burgundy,Sand,None,50.43467154535056,5806
5807,None,Baby,Business Attire,None,None,Sad,Black Hoodie,None,Green,None,None,None,Purple,Brown,None,17.49025824167074,5807
5808,None,Baby,None,None,None,Looking Up,None,None,Teal,None,None,None,Gray,Burgundy,None,2.692823560216297,5808
